smiles,D
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3C4CCC3CC(O)C4)ccc21,-5.031
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CC(C)OC(C)C3)ccc21,-5.577
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCC(Cc4ccccc4)CC3)ccc21,-6.745
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCC(CCO)CC3)ccc21,-4.976
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCC(CO)CC3)ccc21,-5.078
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCCC(O)C3)ccc21,-5.183
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCCC3)ccc21,-5.265
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCCCC3Cc3ccccc3)ccc21,-6.26
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCCN(C)CC3)ccc21,-5.014
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(C(C)C)CC3)ccc21,-5.226
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(C)CC3)ccc21,-4.77
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(c4ncccn4)CC3)ccc21,-5.66
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(Cc4ccc(F)cc4)CC3)ccc21,-5.987
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(CCN(C)C)CC3)ccc21,-5.152
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(CCO)CC3)ccc21,-5.325
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCN(S(C)(=O)=O)CC3)ccc21,-5.335
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCOCC3)ccc21,-4.95
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(C)C)ccc21,-5.442
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(C)CO)ccc21,-5.288
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(CO)C(C)C)ccc21,-5.214
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(CO)c3ccccc3)ccc21,-6.092
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(CO)CC(C)C)ccc21,-5.432
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(CO)Cc3ccccc3)ccc21,-5.017
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC(CO)Cc3cnc[nH]3)ccc21,-5.149
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC3CC3)ccc21,-5.137
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)Nc3ccc(C)nc3)ccc21,-5.572
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NC3CCOCC3)ccc21,-5.234
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)Nc3cncc(C)c3)ccc21,-5.438
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NCC(C)C)ccc21,-5.833
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)NCCCCCO)ccc21,-5.344
CC(=O)N1CCCCCCCN(Cc2cccnc2)Cc2cc(C(=O)N3CC(O)C3)ccc21,-5.239
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N(C)CC(O)CO)ccc21,-6.959
