system	functional	call	action	probe_defect	probe_stderr	defect_score	full_defect	replicate_defect	energy_defect_Ha	ace_rank	operator_memory_MiB	exx_call_time_s	probes_used
LiF2	PBE0	9	reuse	0.0002413115560905049	0.0	0.0002413115560905049	NaN	NaN	NaN	5	0.16139984130859375	0.006037723	1
LiF2	PBE0	10	reuse	0.0002167294789994366	0.0	0.0002167294789994366	NaN	NaN	NaN	5	0.16139984130859375	0.00688611	1
LiF2	PBE0	11	reuse	0.00019874974501666876	0.0	0.00019874974501666876	NaN	NaN	NaN	5	0.16139984130859375	0.006535747	1
LiF2	PBE0	12	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	5	0.16139984130859375	0.025447329	0
LiF2	PBE0	13	reuse	3.791688756985831e-5	0.0	3.791688756985831e-5	NaN	NaN	NaN	5	0.16139984130859375	0.006311105	1
LiF2	PBE0	14	reuse	2.5228460046742075e-5	0.0	2.5228460046742075e-5	NaN	NaN	NaN	5	0.16139984130859375	0.006282828	1
LiF2	PBE0	15	reuse	2.3720605591008357e-5	0.0	2.3720605591008357e-5	NaN	NaN	NaN	5	0.16139984130859375	0.006335109	1
LiF2	PBE0	16	reuse	2.2810111076285184e-5	0.0	2.2810111076285184e-5	NaN	NaN	NaN	5	0.16139984130859375	0.006389914	1
LiF2	PBE0	17	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	5	0.16139984130859375	0.025437422	0
LiF2	PBE0	18	reuse	3.6485203958989847e-6	0.0	3.6485203958989847e-6	NaN	NaN	NaN	5	0.16139984130859375	0.006339755	1
LiF2	PBE0	19	reuse	2.6865989097974e-6	0.0	2.6865989097974e-6	NaN	NaN	NaN	5	0.16139984130859375	0.006394381	1
LiF2	PBE0	20	reuse	2.6843516735523836e-6	0.0	2.6843516735523836e-6	NaN	NaN	NaN	5	0.16139984130859375	0.005874353	1
LiF2	PBE0	21	reuse	2.4869738923874484e-6	0.0	2.4869738923874484e-6	NaN	NaN	NaN	5	0.16139984130859375	0.006138001	1
LiF2	PBE0	22	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	5	0.16139984130859375	0.02353658	0
