system	method	evaluation	accepted_iteration	density_residual	elapsed_s
C2	AdaptiveEXX	15	15	7.928760393272668e-5	0.397212974
C2	AdaptiveEXX	16	16	5.342715789009247e-5	0.420628382
C2	AdaptiveEXX	17	17	3.520929952733968e-5	0.454900943
C2	AdaptiveEXX	18	18	2.4070940674451898e-5	0.478406008
C2	AdaptiveEXX	19	19	1.6479887852139213e-5	0.502868702
C2	AdaptiveEXX	20	20	1.130083622227398e-5	0.526926047
C2	AdaptiveEXX	21	21	7.760668005518517e-6	0.550856702
C2	AdaptiveEXX	22	22	5.284122950560539e-6	0.58437111
C2	AdaptiveEXX	23	23	3.658317490141401e-6	0.608739023
C2	AdaptiveEXX	24	24	2.535319725211675e-6	0.631568966
C2	AdaptiveEXX	25	25	1.7589836712940123e-6	0.657507308
C2	AdaptiveEXX	26	26	1.2215689130191466e-6	0.682325471
C2	AdaptiveEXX	27	27	8.511711804788438e-7	0.71580248
MgO2	Vanilla_EXX	1	1	0.020629295658854328	0.238500733
MgO2	Vanilla_EXX	2	2	0.014159972590594927	0.444074829
MgO2	Vanilla_EXX	3	3	0.0086628686711443	0.927421478
MgO2	Vanilla_EXX	4	4	0.004723339020021854	1.671575267
MgO2	Vanilla_EXX	5	5	0.002848950008801782	2.159039256
MgO2	Vanilla_EXX	6	6	0.0018822642004846057	2.595549493
MgO2	Vanilla_EXX	7	7	0.0012867898508197243	3.232307367
MgO2	Vanilla_EXX	8	8	0.0008846772411606323	3.683077914
MgO2	Vanilla_EXX	9	9	0.0006032488158401254	4.135351662
MgO2	Vanilla_EXX	10	10	0.0004078186148728381	4.826796275
MgO2	Vanilla_EXX	11	11	0.0002745718214527409	5.276006396
MgO2	Vanilla_EXX	12	12	0.00018485168945659515	5.728250841
MgO2	Vanilla_EXX	13	13	0.0001246404782461392	6.419383794
MgO2	Vanilla_EXX	14	14	8.416850240462514e-5	6.868643026
MgO2	Vanilla_EXX	15	15	5.6892042785392474e-5	7.319993071
MgO2	Vanilla_EXX	16	16	3.847632555759317e-5	7.978558933
MgO2	Vanilla_EXX	17	17	2.603320764469127e-5	8.459487434
MgO2	Vanilla_EXX	18	18	1.7622281015862525e-5	8.914618763
MgO2	Vanilla_EXX	19	19	1.1935832927337247e-5	9.365118739
MgO2	Vanilla_EXX	20	20	8.089868495038432e-6	10.047438856
MgO2	Vanilla_EXX	21	21	5.4872040762402775e-6	10.498456912
MgO2	Vanilla_EXX	22	22	3.7248037564680496e-6	10.951097293
MgO2	Vanilla_EXX	23	23	2.530604211524391e-6	11.639681476
MgO2	Vanilla_EXX	24	24	1.7207609967038669e-6	12.090270801
MgO2	Vanilla_EXX	25	25	1.1711875619912318e-6	12.542526528
MgO2	Vanilla_EXX	26	26	7.979154918590737e-7	13.215393944
MgO2	ACE_occupied	1	1	0.020407177406416097	0.092346624
MgO2	ACE_occupied	2	2	0.014128497058416475	0.214642919
MgO2	ACE_occupied	3	3	0.008790515562076258	0.331905556
MgO2	ACE_occupied	4	4	0.00480806398310725	0.446900402
MgO2	ACE_occupied	5	5	0.0028788367825570804	0.565236518
MgO2	ACE_occupied	6	6	0.0018958926031491057	0.677066934
MgO2	ACE_occupied	7	7	0.0012977767084371029	0.787391297
MgO2	ACE_occupied	8	8	0.0008962967463827319	1.103087142
MgO2	ACE_occupied	9	9	0.000613904134730112	1.232532971
MgO2	ACE_occupied	10	10	0.00041573285447014794	1.355045337
MgO2	ACE_occupied	11	11	0.0002796699903187025	1.468068158
MgO2	ACE_occupied	12	12	0.00018794535547695808	1.580748603
MgO2	ACE_occupied	13	13	0.00012653812852268762	1.694084945
MgO2	ACE_occupied	14	14	8.538311598740445e-5	1.807297399
MgO2	ACE_occupied	15	15	5.7700325339689454e-5	1.921243061
MgO2	ACE_occupied	16	16	3.902149911139087e-5	2.238504197
MgO2	ACE_occupied	17	17	2.6399114436970634e-5	2.374590658
MgO2	ACE_occupied	18	18	1.7865647045488287e-5	2.489892413
MgO2	ACE_occupied	19	19	1.2096648618935287e-5	2.606431791
MgO2	ACE_occupied	20	20	8.19588426731764e-6	2.721615318
MgO2	ACE_occupied	21	21	5.557090858683442e-6	2.837063157
MgO2	ACE_occupied	22	22	3.771083602748042e-6	2.953521187
MgO2	ACE_occupied	23	23	2.5612194776798434e-6	3.06917722
MgO2	ACE_occupied	24	24	1.7410895459829146e-6	3.384807074
MgO2	ACE_occupied	25	25	1.1846593708767556e-6	3.513084566
MgO2	ACE_occupied	26	26	8.068567438516081e-7	3.630071575
MgO2	ACE_full	1	1	0.020259213128208574	0.132422627
MgO2	ACE_full	2	2	0.014131924023511856	0.25663299
MgO2	ACE_full	3	3	0.00885833311850473	0.394761935
MgO2	ACE_full	4	4	0.00484609217556462	0.5319365
MgO2	ACE_full	5	5	0.002887182535251497	0.674751728
MgO2	ACE_full	6	6	0.0018932409257558008	1.009886688
MgO2	ACE_full	7	7	0.0012920725179520255	1.159734198
MgO2	ACE_full	8	8	0.0008902596638589251	1.292721817
MgO2	ACE_full	9	9	0.0006089384077366218	1.431008879
MgO2	ACE_full	10	10	0.0004122638052892406	1.595507602
MgO2	ACE_full	11	11	0.00027748823808749026	1.734647372
MgO2	ACE_full	12	12	0.00018661684258777477	2.073441787
MgO2	ACE_full	13	13	0.00012571231789597936	2.222656951
MgO2	ACE_full	14	14	8.484880476761351e-5	2.355497138
MgO2	ACE_full	15	15	5.734074189845869e-5	2.492441383
MgO2	ACE_full	16	16	3.8776594057463414e-5	2.628163564
MgO2	ACE_full	17	17	2.623309888816814e-5	2.765781378
MgO2	ACE_full	18	18	1.7754298981771364e-5	3.098589514
MgO2	ACE_full	19	19	1.2022329641927066e-5	3.244686483
