system	call	action	probe1_defect	probe1_relative_error	probe3_defect	probe3_stderr	probe3_score	probe3_relative_error	full_occupied_defect	independent_probe1_defect	independent_probe1_relative_error	exchange_energy_defect_meV	ace_rank	exx_call_time_s
Si2	26	reuse	4.68754347705457e-6	9.758271005465756e-6	4.687577948119715e-6	3.447081165961259e-11	4.687646889743034e-6	1.711210178959569e-5	4.687497735181332e-6	4.68754347705457e-6	9.758271005465756e-6	0.0006669355705374903	4	0.079591494
Si2	27	rebuild	4.7311821786804885e-6	1.6735955489243798e-5	4.731224216787216e-6	4.2037733214788523e-11	4.731308292253646e-6	7.850775931208293e-6	4.731261360860032e-6	4.731136098641238e-6	2.64754384170212e-5	0.0006903011117962623	4	0.111409539
Si2	28	reuse	1.091832188048875e-6	2.3253144582400162e-5	1.0918026744855341e-6	1.50778880003002e-11	1.0918328302615347e-6	3.7787106304172753e-6	1.091806800107496e-6	1.091832188048875e-6	2.3253144582400162e-5	0.00035682525573699724	4	0.081695459
Si2	29	reuse	1.115635158523368e-6	7.6143342606839176e-6	1.1156508198770151e-6	9.747309442641965e-12	1.1156703144959004e-6	6.423619165924873e-6	1.1156436534070608e-6	1.1156697846352457e-6	2.3422558005134226e-5	0.00028053731904159715	4	0.080684405
MgO2	2	rebuild	0.004111521203255233	0.016777344073794942	0.004011719550236802	5.039302875900037e-5	0.004112505607754803	0.007903559823748544	0.004043679009194003	0.003960682142663695	0.020525087758350744	4.428845867277086	8	0.166034461
MgO2	3	reuse	0.0005600303855864383	0.05154587507805723	0.0005596628409188116	3.861426041393545e-6	0.0005673856930015987	0.05216833997474056	0.0005904664979263267	0.0006261018660833455	0.060351210919107966	5.514648886993693	8	0.115783651
MgO2	4	reuse	0.0008478662480063983	0.02446631173619967	0.0008524240480479301	9.741397017642644e-6	0.0008719068420832153	0.02997344521292223	0.0008276175002470203	0.0008577955941614901	0.036463818014315176	11.083155082305584	8	0.116780314
MgO2	5	reuse	0.0009697943921802144	0.04963462057325346	0.0010313458401984665	3.1773273799513486e-5	0.0010948923877974934	0.010683696094494006	0.0010204437295108406	0.001022379635833812	0.0018971220724726414	16.55880573314902	8	0.117287422
MgO2	6	reuse	0.0010704423381316564	0.025647422551324645	0.001131907286357939	3.4068905911341974e-5	0.001200045098180623	0.030300038226018088	0.00109861908605465	0.0010456891434670558	0.048178611913320915	18.38972133196751	8	0.1160775
MgO2	7	rebuild	0.0011899293988408446	0.057002855912779454	0.0011409978286562928	3.203147746259799e-5	0.0012050607835814887	0.013537412097582458	0.0011257579789727965	0.0011429464630581061	0.015268365320398021	18.989199470272915	8	0.376185309
