 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.28060000E+00  0.39422135E+05  0.39423674E+05  0.39427264E+05  0.12232553E+04  0.33770758E+04  0.42470139E+04
  0.28510000E+00  0.39750403E+05  0.39751978E+05  0.39755129E+05  0.12259621E+04  0.34068122E+04  0.42811265E+04
  0.28950000E+00  0.40062533E+05  0.40064144E+05  0.40067368E+05  0.12448826E+04  0.34344123E+04  0.43173882E+04
  0.29400000E+00  0.40386813E+05  0.40387912E+05  0.40391759E+05  0.12465507E+04  0.34622450E+04  0.43489129E+04
  0.29840000E+00  0.40695057E+05  0.40696181E+05  0.40700114E+05  0.12652065E+04  0.34879337E+04  0.43828040E+04
  0.30290000E+00  0.41015094E+05  0.41016243E+05  0.41020265E+05  0.12658065E+04  0.35138118E+04  0.44170064E+04
  0.30740000E+00  0.41333065E+05  0.41334826E+05  0.41338349E+05  0.12846118E+04  0.35386882E+04  0.44500258E+04
  0.31180000E+00  0.41636051E+05  0.41637251E+05  0.41641448E+05  0.12836945E+04  0.35614065E+04  0.44804096E+04
  0.31630000E+00  0.41950684E+05  0.41951909E+05  0.41955583E+05  0.13022212E+04  0.35914071E+04  0.45110264E+04
  0.32070000E+00  0.42250132E+05  0.42251382E+05  0.42255133E+05  0.13001772E+04  0.36122352E+04  0.45448120E+04
  0.32520000E+00  0.42561215E+05  0.42562491E+05  0.42566320E+05  0.13184210E+04  0.36406090E+04  0.45730872E+04
  0.32960000E+00  0.42857409E+05  0.42858711E+05  0.42862616E+05  0.13152146E+04  0.36671131E+04  0.46047662E+04
  0.33410000E+00  0.43165162E+05  0.43166490E+05  0.43170475E+05  0.13331711E+04  0.36862029E+04  0.46368249E+04
  0.33850000E+00  0.43458238E+05  0.43459592E+05  0.43463655E+05  0.13507286E+04  0.37110362E+04  0.46664661E+04
  0.34300000E+00  0.43763418E+05  0.43764798E+05  0.43768250E+05  0.13464286E+04  0.37361878E+04  0.46964439E+04
  0.34740000E+00  0.44053369E+05  0.44054776E+05  0.44058997E+05  0.13637006E+04  0.37594631E+04  0.47305539E+04
  0.35190000E+00  0.44355230E+05  0.44356663E+05  0.44360965E+05  0.13581472E+04  0.37830241E+04  0.47585304E+04
  0.35640000E+00  0.44655862E+05  0.44657323E+05  0.44660975E+05  0.13755148E+04  0.38143339E+04  0.47922295E+04
  0.36080000E+00  0.44942383E+05  0.44943871E+05  0.44947590E+05  0.13924965E+04  0.38353628E+04  0.48168137E+04
  0.36530000E+00  0.45239301E+05  0.45240816E+05  0.45245361E+05  0.13853429E+04  0.38566313E+04  0.48487000E+04
  0.36970000E+00  0.45523559E+05  0.45525101E+05  0.45528956E+05  0.14020292E+04  0.38850558E+04  0.48784053E+04
  0.37420000E+00  0.45818617E+05  0.45820187E+05  0.45824111E+05  0.14190947E+04  0.39048135E+04  0.49085675E+04
  0.37860000E+00  0.46100167E+05  0.46101764E+05  0.46105756E+05  0.14099090E+04  0.39320483E+04  0.49365460E+04
  0.38310000E+00  0.46392887E+05  0.46394512E+05  0.46398574E+05  0.14266670E+04  0.39502621E+04  0.49649469E+04
  0.38750000E+00  0.46671924E+05  0.46673576E+05  0.46677707E+05  0.14430526E+04  0.39762824E+04  0.49988810E+04
  0.39200000E+00  0.46962495E+05  0.46964176E+05  0.46968377E+05  0.14325221E+04  0.39929175E+04  0.50256199E+04
  0.39640000E+00  0.47239990E+05  0.47241698E+05  0.47245969E+05  0.14486014E+04  0.40176974E+04  0.50501674E+04
  0.40090000E+00  0.47527667E+05  0.47529404E+05  0.47533746E+05  0.14650462E+04  0.40429394E+04  0.50831954E+04
  0.40540000E+00  0.47815503E+05  0.47817269E+05  0.47820799E+05  0.14814909E+04  0.40676199E+04  0.51073023E+04
  0.40980000E+00  0.48089354E+05  0.48091148E+05  0.48095632E+05  0.14684885E+04  0.40907355E+04  0.51376114E+04
  0.41430000E+00  0.48374726E+05  0.48376549E+05  0.48380193E+05  0.14846139E+04  0.41142827E+04  0.51685037E+04
  0.41870000E+00  0.48647525E+05  0.48648450E+05  0.48653078E+05  0.15003810E+04  0.41362649E+04  0.51974722E+04
  0.42320000E+00  0.48930309E+05  0.48932189E+05  0.48936888E+05  0.15165064E+04  0.41586576E+04  0.52181925E+04
  0.42760000E+00  0.49201013E+05  0.49202921E+05  0.49207693E+05  0.15013153E+04  0.41794848E+04  0.52456594E+04
  0.43210000E+00  0.49482914E+05  0.49484852E+05  0.49488728E+05  0.15171149E+04  0.42007009E+04  0.52736566E+04
  0.43650000E+00  0.49752282E+05  0.49753265E+05  0.49758183E+05  0.15325634E+04  0.42203505E+04  0.52997304E+04
  0.44100000E+00  0.50032136E+05  0.50033134E+05  0.50038125E+05  0.15483630E+04  0.42403668E+04  0.53356779E+04
  0.44540000E+00  0.50299904E+05  0.50300917E+05  0.50305981E+05  0.15308855E+04  0.42588152E+04  0.53604759E+04
  0.44990000E+00  0.50577372E+05  0.50579428E+05  0.50583539E+05  0.15463525E+04  0.42776073E+04  0.53857561E+04
  0.45440000E+00  0.50855414E+05  0.50857499E+05  0.50861670E+05  0.15618194E+04  0.43081015E+04  0.54103012E+04
  0.45880000E+00  0.51120995E+05  0.51123110E+05  0.51127340E+05  0.15769427E+04  0.43248898E+04  0.54428614E+04
  0.46330000E+00  0.51396588E+05  0.51398733E+05  0.51403023E+05  0.15574074E+04  0.43419912E+04  0.54660743E+04
  0.46770000E+00  0.51661181E+05  0.51663356E+05  0.51667705E+05  0.15721982E+04  0.43703922E+04  0.54873587E+04
  0.47220000E+00  0.51935996E+05  0.51938201E+05  0.51942611E+05  0.15873252E+04  0.43864098E+04  0.55194447E+04
  0.47660000E+00  0.52199129E+05  0.52201364E+05  0.52205834E+05  0.16021160E+04  0.44140867E+04  0.55393715E+04
  0.48110000E+00  0.52472677E+05  0.52474942E+05  0.52479473E+05  0.16172430E+04  0.44290024E+04  0.55703719E+04
  0.48550000E+00  0.52734923E+05  0.52736071E+05  0.52740662E+05  0.15945108E+04  0.44559442E+04  0.55997379E+04
  0.49000000E+00  0.53007784E+05  0.53008947E+05  0.53013600E+05  0.16092900E+04  0.44697391E+04  0.56188139E+04
  0.49440000E+00  0.53268550E+05  0.53269728E+05  0.53274442E+05  0.16237408E+04  0.44959346E+04  0.56470795E+04
  0.49890000E+00  0.53540110E+05  0.53541304E+05  0.53546080E+05  0.16385200E+04  0.45085890E+04  0.56759996E+04
  0.50330000E+00  0.53799901E+05  0.53801111E+05  0.53805947E+05  0.16529707E+04  0.45340265E+04  0.57032908E+04
  0.50780000E+00  0.54070676E+05  0.54071901E+05  0.54076799E+05  0.16275573E+04  0.45600658E+04  0.57196540E+04
  0.51230000E+00  0.54339377E+05  0.54341858E+05  0.54346819E+05  0.16419803E+04  0.45710796E+04  0.57469310E+04
  0.51670000E+00  0.54599269E+05  0.54600525E+05  0.54605547E+05  0.16560828E+04  0.45954432E+04  0.57725829E+04
  0.52120000E+00  0.54867915E+05  0.54869187E+05  0.54874272E+05  0.16705058E+04  0.46203908E+04  0.57988452E+04
  0.52560000E+00  0.55125573E+05  0.55128147E+05  0.55132008E+05  0.16846083E+04  0.46288426E+04  0.58234841E+04
