system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	basis_estimate	kpoint_estimate	scf_estimate	estimated_controllable_error	actual_error	selected_action	cumulative_cost_s	kpoint_estimate_source	scf_estimate_source	stop_verified
C	energy	2.0	7	37.76	7	0.0001	4.479638314219836	1.9986850392759001	3.155733170453608e-5	6.4783549108274405	3.90174251322565	Ecut	10.916799959999999	decay_prediction	anchored_probe	false
C	energy	2.0	8	44.556799999999996	7	0.0001	0.11851567789316722	2.19855354320349	3.155733170453608e-5	2.317100778428362	1.491764265538808	kgrid	12.987740813999999	transferred_prediction	anchored_probe	false
C	energy	2.0	9	44.556799999999996	8	0.0001	0.11759213539038924	0.2780174050141056	3.155733170453608e-5	0.3956410977361993	0.5578985727923734	stop	17.007053314	stop_verification	anchored_probe	true
MgO	energy	10.0	1	32.0	2	0.0001	255.3304070229644	405.4952698673373	1.0975815904330949e-5	660.8256878661176	582.6386585498698	kgrid	1.949549578	direct_probe	anchored_probe	false
MgO	energy	10.0	2	32.0	3	0.0001	219.88715091129404	120.14674662735919	1.0975815904330949e-5	340.03390851446915	177.14338868253245	Ecut	3.214314905	decay_prediction	anchored_probe	false
MgO	energy	10.0	3	37.76	3	0.0001	10.696151281662349	132.16142129009512	1.0975815904330949e-5	142.85758354757337	51.28957160551671	kgrid	5.260366237	transferred_prediction	anchored_probe	false
MgO	energy	10.0	4	37.76	4	0.0001	9.547753954143673	16.587853408947336	1.0975815904330949e-5	26.135618338906912	11.970215376900802	kgrid	8.756797576	decay_prediction	anchored_probe	false
MgO	energy	10.0	5	37.76	5	0.0001	9.655335998826809	2.618763115523172	1.0975815904330949e-5	12.274110090165884	6.855443666894608	Ecut	12.819203064	decay_prediction	anchored_probe	false
MgO	energy	10.0	6	44.556799999999996	5	0.0001	0.4670209077962903	0.8326491110197205	1.0975815904330949e-5	1.2996809946319152	1.5354313491193048	stop	18.477007925	stop_verification	anchored_probe	true
MgO	energy	5.0	1	32.0	2	0.0001	255.3304070229644	405.4952698673373	1.0975815904330949e-5	660.8256878661176	582.6386585498698	kgrid	1.949549578	direct_probe	anchored_probe	false
MgO	energy	5.0	2	32.0	3	0.0001	219.88715091129404	120.14674662735919	1.0975815904330949e-5	340.03390851446915	177.14338868253245	Ecut	3.214314905	decay_prediction	anchored_probe	false
MgO	energy	5.0	3	37.76	3	0.0001	10.696151281662349	132.16142129009512	1.0975815904330949e-5	142.85758354757337	51.28957160551671	kgrid	5.260366237	transferred_prediction	anchored_probe	false
MgO	energy	5.0	4	37.76	4	0.0001	9.547753954143673	16.587853408947336	1.0975815904330949e-5	26.135618338906912	11.970215376900802	kgrid	8.756797576	decay_prediction	anchored_probe	false
MgO	energy	5.0	5	37.76	5	0.0001	9.655335998826809	2.618763115523172	1.0975815904330949e-5	12.274110090165884	6.855443666894608	Ecut	12.819203064	decay_prediction	anchored_probe	false
MgO	energy	5.0	6	44.556799999999996	5	0.0001	0.4670209077962903	0.9159140221216926	1.0975815904330949e-5	1.3829459057338873	1.5354313491193048	stop	18.477007925	near_threshold_verification	anchored_probe	true
MgO	energy	2.0	1	32.0	2	0.0001	255.3304070229644	405.4952698673373	1.0975815904330949e-5	660.8256878661176	582.6386585498698	kgrid	1.949549578	direct_probe	anchored_probe	false
MgO	energy	2.0	2	32.0	3	0.0001	219.88715091129404	120.14674662735919	1.0975815904330949e-5	340.03390851446915	177.14338868253245	Ecut	3.214314905	decay_prediction	anchored_probe	false
MgO	energy	2.0	3	37.76	3	0.0001	10.696151281662349	132.16142129009512	1.0975815904330949e-5	142.85758354757337	51.28957160551671	kgrid	5.260366237	transferred_prediction	anchored_probe	false
MgO	energy	2.0	4	37.76	4	0.0001	9.547753954143673	16.587853408947336	1.0975815904330949e-5	26.135618338906912	11.970215376900802	kgrid	8.756797576	decay_prediction	anchored_probe	false
MgO	energy	2.0	5	37.76	5	0.0001	9.655335998826809	2.618763115523172	1.0975815904330949e-5	12.274110090165884	6.855443666894608	Ecut	12.819203064	decay_prediction	anchored_probe	false
MgO	energy	2.0	6	44.556799999999996	5	0.0001	0.4670209077962903	2.880639427075489	1.0975815904330949e-5	3.3476713106876836	1.5354313491193048	kgrid	16.506142378	transferred_prediction	anchored_probe	false
MgO	energy	2.0	7	44.556799999999996	6	0.0001	0.4657922941126417	0.1484133426761463	1.0975815904330949e-5	0.6142166126046924	0.7027822380995842	stop	24.15558162	stop_verification	anchored_probe	true
LiF	energy	10.0	1	36.0	2	0.0001	8.385600337044215	151.9812022442219	7.591394928352211e-6	160.36681017266105	167.20417355357608	kgrid	1.273545852	direct_probe	anchored_probe	false
LiF	energy	10.0	2	36.0	3	0.0001	8.962874032467573	45.0314673316213	7.591394928352211e-6	53.9943489554838	15.222971309354186	kgrid	1.779033174	decay_prediction	anchored_probe	false
LiF	energy	10.0	3	36.0	4	0.0001	9.82769004960897	3.59133912514281	7.591394928352211e-6	13.419036766146707	6.710167457163822	Ecut	2.867037238	decay_prediction	anchored_probe	false
LiF	energy	10.0	4	42.48	4	0.0001	0.32757699774561383	0.736793689405938	7.591394928352211e-6	1.0643782785464804	1.2582903224116364	stop	5.336006866	stop_verification	anchored_probe	true
LiF	energy	5.0	1	36.0	2	0.0001	8.385600337044215	151.9812022442219	7.591394928352211e-6	160.36681017266105	167.20417355357608	kgrid	1.273545852	direct_probe	anchored_probe	false
LiF	energy	5.0	2	36.0	3	0.0001	8.962874032467573	45.0314673316213	7.591394928352211e-6	53.9943489554838	15.222971309354186	kgrid	1.779033174	decay_prediction	anchored_probe	false
LiF	energy	5.0	3	36.0	4	0.0001	9.82769004960897	3.59133912514281	7.591394928352211e-6	13.419036766146707	6.710167457163822	Ecut	2.867037238	decay_prediction	anchored_probe	false
LiF	energy	5.0	4	42.48	4	0.0001	0.32757699774561383	3.9504730376570913	7.591394928352211e-6	4.278057626797634	1.2582903224116364	kgrid	4.562104786	transferred_prediction	anchored_probe	false
LiF	energy	5.0	5	42.48	5	0.0001	0.32890932336285794	0.0685248906414399	7.591394928352211e-6	0.3974418053992262	0.5214966330056984	stop	8.02990723	stop_verification	anchored_probe	true
LiF	energy	2.0	1	36.0	2	0.0001	8.385600337044215	151.9812022442219	7.591394928352211e-6	160.36681017266105	167.20417355357608	kgrid	1.273545852	direct_probe	anchored_probe	false
LiF	energy	2.0	2	36.0	3	0.0001	8.962874032467573	45.0314673316213	7.591394928352211e-6	53.9943489554838	15.222971309354186	kgrid	1.779033174	decay_prediction	anchored_probe	false
LiF	energy	2.0	3	36.0	4	0.0001	9.82769004960897	3.59133912514281	7.591394928352211e-6	13.419036766146707	6.710167457163822	Ecut	2.867037238	decay_prediction	anchored_probe	false
LiF	energy	2.0	4	42.48	4	0.0001	0.32757699774561383	3.9504730376570913	7.591394928352211e-6	4.278057626797634	1.2582903224116364	kgrid	4.562104786	transferred_prediction	anchored_probe	false
LiF	energy	2.0	5	42.48	5	0.0001	0.32890932336285794	0.0685248906414399	7.591394928352211e-6	0.3974418053992262	0.5214966330056984	stop	8.02990723	stop_verification	anchored_probe	true
